Statement_ZH,Statement_EN,Petition_ZH,Petition-EN,Similarity_Score,Number_of_Votes
您是否贊成臺灣全面放棄使用核能發電？目前臺灣對是否應繼續使用核能，仍有諸多爭議。現在政府推動 2025 非核家 園，即所有核能廠關閉，將來將不再使用核能發電 。臺灣位處地震帶，不利設置核能電廠，且核廢料為永久性汙染， 難以處理。再加以各國都在鼓勵跨國公司採購綠電，均為因應減少核能發電的趨勢。核能發電有供電穩定，避免國際能 源價格波動之優點，亦有助於降低火力發電產生的碳排放，及解決空汙問題。,"Do you agree that Taiwan should completely abandon the use of nuclear energy? There is still a lot of controversy in Taiwan about whether nuclear energy should be used. The government is now pushing for a 2025 non-nuclear state, which means that all nuclear power plants will be shut down, and nuclear power will no longer be used in the future. \textit{Support}: Taiwan is located in an earthquake zone that makes it unsuitable for nuclear power plants, and the nuclear waste is permanently polluted and difficult to dispose. With the increasing trend of discontinuing using nuclear power for energy production, several countries encourage multinational companies to use green power technologies. \textit{Against}: Nuclear power generation has the advantages of stable power supply and avoiding fluctuations in international energy prices. It also helps reduce carbon emissions from thermal power generation and could solve the problem of air pollution.",民國臺灣的核能發電廠一定立刻使用核聚變發電。1.使用一座核裂變核能發電廠使用三座核聚變核能發電廠發電。2.三 座核聚變核能發電廠完全一定會發出幾千萬瓦電力。超建議民國臺灣的核能發電廠一定立刻使用核聚變發電。,Nuclear power plants in Taiwan must be used to generate electricity. Use one or three nuclear power plants to generate electricity. Three nuclear power plants will definitely be able to generate tens of millions of watts of electricity. It is highly recommended to use nuclear power plants in Taiwan. We must immediately use nuclear fusion to generate electricity.,0.808124065,9
您是否贊成臺灣全面放棄使用核能發電？目前臺灣對是否應繼續使用核能，仍有諸多爭議。現在政府推動 2025 非核家 園，即所有核能廠關閉，將來將不再使用核能發電 。臺灣位處地震帶，不利設置核能電廠，且核廢料為永久性汙染， 難以處理。再加以各國都在鼓勵跨國公司採購綠電，均為因應減少核能發電的趨勢。核能發電有供電穩定，避免國際能 源價格波動之優點，亦有助於降低火力發電產生的碳排放，及解決空汙問題。,"Do you agree that Taiwan should completely abandon the use of nuclear energy? There is still a lot of controversy in Taiwan about whether nuclear energy should be used. The government is now pushing for a 2025 non-nuclear state, which means that all nuclear power plants will be shut down, and nuclear power will no longer be used in the future. \textit{Support}: Taiwan is located in an earthquake zone that makes it unsuitable for nuclear power plants, and the nuclear waste is permanently polluted and difficult to dispose. With the increasing trend of discontinuing using nuclear power for energy production, several countries encourage multinational companies to use green power technologies. \textit{Against}: Nuclear power generation has the advantages of stable power supply and avoiding fluctuations in international energy prices. It also helps reduce carbon emissions from thermal power generation and could solve the problem of air pollution.",使用海浪發電、海流發電 1.沒有火力發電產生大量空氣汙染，需要採購煤炭、燃氣、燃油，廣大空間煤炭存放、氣 槽、油槽。2.沒有核能發電產生核廢料問題，需要採購核燃料、冷劑、防護衣，及核廢料貯存。3.不像現有水力發電有 嚴苛水力條件限制，海浪發電、海流發電地點。4.發電效率比風力發電高。5.沒製造太陽板產生大量汙染。6.目前單一 機組發電量還無法我國火力、核能發電單一機組相比，取代火力核能需要大量機組。7.我國周圍廣大海域設置機組發 電，用電纜電輸送回陸上。使用海浪發電、海流發電，並逐漸增加發電類型比例。,"The use of wave power and ocean current power generation 1. does not generate a lot of air pollution from thermal power generation, which requires the purchase of coal, gas, fuel oil, large space for coal storage, gas tank, and oil tank. 2. does not generate nuclear waste from nuclear power generation, which requires the purchase of nuclear fuel, refrigerant, protective clothing, and nuclear waste storage. 3. does not have severe hydraulic conditions, unlike the existing hydroelectric power generation, where wave power and ocean current power generation are located. 4. The efficiency of power generation is higher than that of wind power. 5. no pollution is generated by the manufacture of solar panels. 6. the current power generation of a single unit is not comparable to that of a single unit of thermal or nuclear power generation in our country, and a large number of units are needed to replace thermal and nuclear power. 7. units are installed in the vast sea around our country to generate power and are sent back to the land by cable transmission. The use of waves and currents for power generation is gradually increasing the proportion of power generation types",: 0.7733467817306519,12
您是否贊成臺灣全面放棄使用核能發電？目前臺灣對是否應繼續使用核能，仍有諸多爭議。現在政府推動 2025 非核家 園，即所有核能廠關閉，將來將不再使用核能發電 。臺灣位處地震帶，不利設置核能電廠，且核廢料為永久性汙染， 難以處理。再加以各國都在鼓勵跨國公司採購綠電，均為因應減少核能發電的趨勢。核能發電有供電穩定，避免國際能 源價格波動之優點，亦有助於降低火力發電產生的碳排放，及解決空汙問題。,"Do you agree that Taiwan should completely abandon the use of nuclear energy? There is still a lot of controversy in Taiwan about whether nuclear energy should be used. The government is now pushing for a 2025 non-nuclear state, which means that all nuclear power plants will be shut down, and nuclear power will no longer be used in the future. \textit{Support}: Taiwan is located in an earthquake zone that makes it unsuitable for nuclear power plants, and the nuclear waste is permanently polluted and difficult to dispose. With the increasing trend of discontinuing using nuclear power for energy production, several countries encourage multinational companies to use green power technologies. \textit{Against}: Nuclear power generation has the advantages of stable power supply and avoiding fluctuations in international energy prices. It also helps reduce carbon emissions from thermal power generation and could solve the problem of air pollution.",暫緩將核燃料棒送出國，並請台電為全國人民舉辦公聽會明為何需要燃料棒急送出國 1 將台電燃料棒送出台灣並不符 合經濟效益政府花費 80 億買燃料棒現在花 6 億分三年陸續運回美國賤價用 20 億賣出. 未來台灣需要這批燃料棒可能 需要花費超過百億重新購置 2 台灣真得缺電缺到需要蓋汙染高燃煤發電廠核四兩部機組按下啟動按鈕. 將來進口燃料必 須美國臉色美國可能利益不販售燃料棒給台灣台灣能源自主力量弱化將來中國包圍台灣 30 天台灣將無電力可用,"The government has spent $ 8 billion to buy nuclear fuel rods, and over the last three years sent them back to the US and sell them at a low price of $ 2 billion ($600 biilion/year). Taiwan may need to spend more than 10 billion dollars if want to repurchase these fuel rods in the future. 2) Taiwan is already so suffering from a lack of electricity, that it will have to build a coal-fired power plant with a high level of pollution and press the start button on the two units of Lungmen Nuclear Power Plant. In the future, if Taiwan wants to import fuel, it will have to do it by assent of the US. The US may not be interested in selling fuel rods to Taiwan, so Taiwan's energy autonomy will be weakened in the future. Moreover, if China surrounds Taiwan, Taiwan will have no electricity available in 30 days",0.660403371,5956
您是否贊成臺灣全面放棄使用核能發電？目前臺灣對是否應繼續使用核能，仍有諸多爭議。現在政府推動 2025 非核家 園，即所有核能廠關閉，將來將不再使用核能發電 。臺灣位處地震帶，不利設置核能電廠，且核廢料為永久性汙染， 難以處理。再加以各國都在鼓勵跨國公司採購綠電，均為因應減少核能發電的趨勢。核能發電有供電穩定，避免國際能 源價格波動之優點，亦有助於降低火力發電產生的碳排放，及解決空汙問題。,"Do you agree that Taiwan should completely abandon the use of nuclear energy? There is still a lot of controversy in Taiwan about whether nuclear energy should be used. The government is now pushing for a 2025 non-nuclear state, which means that all nuclear power plants will be shut down, and nuclear power will no longer be used in the future. \textit{Support}: Taiwan is located in an earthquake zone that makes it unsuitable for nuclear power plants, and the nuclear waste is permanently polluted and difficult to dispose. With the increasing trend of discontinuing using nuclear power for energy production, several countries encourage multinational companies to use green power technologies. \textit{Against}: Nuclear power generation has the advantages of stable power supply and avoiding fluctuations in international energy prices. It also helps reduce carbon emissions from thermal power generation and could solve the problem of air pollution.",桃園市八德人口直線上升，目前湳、大溪交流道交通量持續成長敷使用，亟欲增建［八德交流道］鑑請桃園市政府積極 擬定可行性評估此計畫多年、多屆立委議員籌畫並列入競選政見服務地方發展提出之建議。 此計畫利用八德擴大都市 計畫區５０米豐德路往西增設寬度３０米、長度４００米聯絡道路，連接至國道３號新增交流道。 桃園市八德區遷入 人口直線上升，目前湳、南桃園大溪交流道交通量持續成長敷使用，亟欲增建［八德交流道］解決八德、大溪、龍潭＆ 中壢移入人口社會住宅人口負荷，提升觀光,"In view of the rising population of Bade in Taoyuan City, the traffic volume on the Nada and Daxi interchanges continues to grow and is insufficient for use, so it is urgent to build an additional [Bade Interchange]. This project will use the 50-meter Fengde Road in the Bade expansion area to add a 30- meter wide and 400-meter long connecting road to the new interchange to National Highway No. 3. The population moving into the Bade area of Taoyuan City has been increasing, and the traffic volume of the Nada and South Taoyuan Daxi interchanges has been growing, so it is urgent to build the Bade interchange to solve the burden of the social and residential population of Bade, Daxi, Longtan and Zhongli, and to enhance tourism",0.550804496,806
您是否贊成臺灣全面放棄使用核能發電？目前臺灣對是否應繼續使用核能，仍有諸多爭議。現在政府推動 2025 非核家 園，即所有核能廠關閉，將來將不再使用核能發電 。臺灣位處地震帶，不利設置核能電廠，且核廢料為永久性汙染， 難以處理。再加以各國都在鼓勵跨國公司採購綠電，均為因應減少核能發電的趨勢。核能發電有供電穩定，避免國際能 源價格波動之優點，亦有助於降低火力發電產生的碳排放，及解決空汙問題。,"Do you agree that Taiwan should completely abandon the use of nuclear energy? There is still a lot of controversy in Taiwan about whether nuclear energy should be used. The government is now pushing for a 2025 non-nuclear state, which means that all nuclear power plants will be shut down, and nuclear power will no longer be used in the future. \textit{Support}: Taiwan is located in an earthquake zone that makes it unsuitable for nuclear power plants, and the nuclear waste is permanently polluted and difficult to dispose. With the increasing trend of discontinuing using nuclear power for energy production, several countries encourage multinational companies to use green power technologies. \textit{Against}: Nuclear power generation has the advantages of stable power supply and avoiding fluctuations in international energy prices. It also helps reduce carbon emissions from thermal power generation and could solve the problem of air pollution.",以家戶私有停車位，管制購車數量大眾運輸榢動率高，計程車發揮作用，道路看起乾淨 1.時常上下班時間例假日、連 假處塞車，其實政策面凌晨免收費真的有用?是不是車太多，沒有車位買車，那車停，亂停，遇到假日車都開出自然間 塞車，日本關西機場飛機太多，進行總量管制，國家車太多是不是總量管制，一家三台車停車位，兩台車停?路邊找位 置，道路變擁擠，環保方面垃圾減量，從源頭減量效果，是不是未來應該參考日本車位可買車政策法令，這不才國家進 步方向 2.路邊違停，是不是車太多所倒致，開車，沒位置停，車量管制得話，是否情況會降低，盛至部分路段畫上紅 線人行道禁止停車,"With private parking spaces in households, the number of cars purchased is regulated, the rate of public transportation is high, taxis play a role, and the roads look clean. 1. Frequent commuting hours, holidays, and even traffic jams. In fact, the policy is really useful for free early morning fees? Aren’t there are too many cars, there are no parking spaces to buy a car, that car is parked, parked randomly, and cars are in natural traffic jams on holidays. There are too many planes at Kansai Airport in Japan. A three-car parking space, two cars parked on the side of the road to find a location, the road becomes congested, environmental protection waste reduction, the effect of reducing the amount from the source, should we refer to the Japanese policy and regulations on parking spaces to buy cars in the future? This is not the direction of national progress 2. Illegal parking on the roadside, is it caused by too many cars, driving, parking without a place, and if the traffic volume is controlled, will the situation be reduced? Red lines are drawn on the sidewalks to prohibit parking on some road sections",0.513241529,67
您是否贊成當經濟成長與環境保護有衝突，政府應以經濟成長為優先考量？為了追求經濟成長，有時會導致環境的破 壞，兩者之間是互相取捨的，因此政府設立環境影響評估機制，近年來在我國亦有不少環境保護的抗議活動。經濟成長 為現代工業社會運作的基礎，為了養活更多人類以及提供更多就業，有時對環境的損害難以避免，或可日後再進行補償 措施。因為環境無可復原特質，對環境的破壞不只需當代承受，更需要未有決定權的後代一併承擔，形成世代不正義。,"Do you agree that when there is a conflict between economic growth and environmental protection, the government should give priority to economic growth? The pursuit of economic growth sometimes leads to damage to the environment, and there is a trade-off between the two. Economic growth is the basis for the functioning of a modern industrial society. In order to feed more people and provide more employment, sometimes environmental damage is unavoidable, or can be compensated for at a later date. Because of the irreversible nature of the environment, the damage to the environment not only needs to be borne by the present, but also needs to be borne by future generations who do not have the right to decide, resulting in generational injustice.",支持糾正環保署鼓勵民眾檢舉獎勵制度取消民眾違規案件之獎金分成 1.降低民眾環保署獎金制度轉變成人生財圖利方 法造成不良印象.2.環保署將獎勵金轉增加稽查單位人手設備提供適當獎金予稽查單位增加積效.支持糾正環保署鼓勵民 眾檢舉獎勵制度取消民眾違規案件之獎金分成目前檢舉達獲利一年達 77 萬元發展出檢舉達人粉絲團補習班器材專賣. 因檢舉不具公務員身分亦非執法單位訂定一獎金分成制度藉此圖利提供影片因有獲利未經當事人同意侵犯檢舉肖像權及 隱私權疑慮身為國家機關帶頭鼓勵民眾違法顯有不當.交通違規民眾檢舉案件警政署早已取消檢舉獎金制度然環保署仍 維持舊規特提此議支持取消民眾違規案件之獎金分成.,"Support to correct the EPA's incentive system to encourage the public to report cases and cancel the bonus share of the public's violation cases. 1. 2. The EPA will increase the manpower of the inspection unit by transferring the incentive money to the inspection unit and provide appropriate bonuses to the inspection unit to increase the effectiveness. Support to correct the EPA's incentive system to encourage people to report cases and abolish the bonus share for people who violate the law. As a state agency, it is inappropriate to take the lead in encouraging citizens to break the law. The police department has long since abolished the bonus system for reporting traffic violations, but the Environmental Protection Agency still maintains the old rules and is making this motion to support the abolition of the bonus share for citizen violations.",0.618605614,7
您是否贊成當經濟成長與環境保護有衝突，政府應以經濟成長為優先考量？為了追求經濟成長，有時會導致環境的破 壞，兩者之間是互相取捨的，因此政府設立環境影響評估機制，近年來在我國亦有不少環境保護的抗議活動。經濟成長 為現代工業社會運作的基礎，為了養活更多人類以及提供更多就業，有時對環境的損害難以避免，或可日後再進行補償 措施。因為環境無可復原特質，對環境的破壞不只需當代承受，更需要未有決定權的後代一併承擔，形成世代不正義。,"Do you agree that when there is a conflict between economic growth and environmental protection, the government should give priority to economic growth? The pursuit of economic growth sometimes leads to damage to the environment, and there is a trade-off between the two. Economic growth is the basis for the functioning of a modern industrial society. In order to feed more people and provide more employment, sometimes environmental damage is unavoidable, or can be compensated for at a later date. Because of the irreversible nature of the environment, the damage to the environment not only needs to be borne by the present, but also needs to be borne by future generations who do not have the right to decide, resulting in generational injustice.",政府教育、刑法預算創造良好乾淨環境台灣環境變得美好其實中華民國環境衛生其實不佳，處看到煙蒂、廢棄物、廢水 滿出垃圾筒回收筒。世衛組織評鑑，一定不會及格。利用教育、刑法預算來創造良好衛生習慣。教育垃圾分類、垃圾帶 回家觀念。垃圾場環境不佳，負責人吃兩年有期徒刑。直轄市縣市，中央派員檢查環境衛生，決定預算。表現不佳，不 好意思，本會計年度款項，少撥以示懲罰。,"Government education, criminal law budget to create a good clean environment Taiwan's environment has become beautiful in fact, the Republic of China's environmental hygiene is actually poor, everywhere you see cigarette butts, waste, waste water full of garbage cans recycling cans. The World Health Organization (WHO) will definitely not pass the evaluation. Use education and penal budget to create good hygiene habits. Educate the concept of garbage separation and take home garbage. If the garbage dump is not in good condition, the person in charge will be sentenced to two years in prison. For cities and counties directly under the jurisdiction of the central government, the central government will send staff to inspect the environmental hygiene and decide the budget. Poor performance, sorry, this Council will calculate the annual payment, less allocation to show punishment",0.592323303,9
您是否贊成當經濟成長與環境保護有衝突，政府應以經濟成長為優先考量？為了追求經濟成長，有時會導致環境的破 壞，兩者之間是互相取捨的，因此政府設立環境影響評估機制，近年來在我國亦有不少環境保護的抗議活動。經濟成長 為現代工業社會運作的基礎，為了養活更多人類以及提供更多就業，有時對環境的損害難以避免，或可日後再進行補償 措施。因為環境無可復原特質，對環境的破壞不只需當代承受，更需要未有決定權的後代一併承擔，形成世代不正義。,"Do you agree that when there is a conflict between economic growth and environmental protection, the government should give priority to economic growth? The pursuit of economic growth sometimes leads to damage to the environment, and there is a trade-off between the two. Economic growth is the basis for the functioning of a modern industrial society. In order to feed more people and provide more employment, sometimes environmental damage is unavoidable, or can be compensated for at a later date. Because of the irreversible nature of the environment, the damage to the environment not only needs to be borne by the present, but also needs to be borne by future generations who do not have the right to decide, resulting in generational injustice.",違章建築拆除違建戶圖一己之利，置可能公共安全不顧，廢棄物自然會製造髒亂病媒孳生指望會照法規處理。違章建築 隨處，地方政府常見口號沒有預算，延遲相關違建拆除，成為變相鼓勵民眾一起違章建築。也許中央地方立法，拆除費 直接拆除戶預先繳納，不依約繳納者，依法額外罰鍰，房屋法拍取得拆除費。附帶一提我家面目前正在進行違建聽人， 水利局，違建戶似乎辦法，惡臉惡行，辦法一再違建，管委會沒轍<<他會來社區鬧,"The illegal building demolition is a self-serving move that ignores possible public safety, and the waste will naturally create a dirty vector breeding expectation that it will be handled according to regulations. The local government often slogans that there is no budget to delay the demolition of related illegal structures, becoming a disguised encouragement to the public to build illegally together. Perhaps the central and local governments should legislate for demolition fees to be paid in advance by the demolishing households, and for those who do not pay, additional fines will be imposed by law. The company is currently in the process of building an illegal structure, and the Water Resources Bureau, and the illegal structure seems to be the way, the evil face and the evil behavior, and the way to repeatedly build an illegal structure, and the management committee will not make a mistake.",0.554911435,17
您是否贊成當經濟成長與環境保護有衝突，政府應以經濟成長為優先考量？為了追求經濟成長，有時會導致環境的破 壞，兩者之間是互相取捨的，因此政府設立環境影響評估機制，近年來在我國亦有不少環境保護的抗議活動。經濟成長 為現代工業社會運作的基礎，為了養活更多人類以及提供更多就業，有時對環境的損害難以避免，或可日後再進行補償 措施。因為環境無可復原特質，對環境的破壞不只需當代承受，更需要未有決定權的後代一併承擔，形成世代不正義。,"Do you agree that when there is a conflict between economic growth and environmental protection, the government should give priority to economic growth? The pursuit of economic growth sometimes leads to damage to the environment, and there is a trade-off between the two. Economic growth is the basis for the functioning of a modern industrial society. In order to feed more people and provide more employment, sometimes environmental damage is unavoidable, or can be compensated for at a later date. Because of the irreversible nature of the environment, the damage to the environment not only needs to be borne by the present, but also needs to be borne by future generations who do not have the right to decide, resulting in generational injustice.",提升稅賦制度公平性說明多年，汽車燃料稅車輛排氣數等級徵收皆認為十分不合理，2012 立委提案改為隨油徵收，考 量對公車、計程車、貨運業者影響，遲遲不敢進行改革。 能源效率等級 3 級現行稅率相同，2 級 1 級則調降燃料稅既 不會造成大眾運輸工具稅金大幅提升，促進汽車產業節能進化發展,"For many years, the tax on motor vehicle emissions has been considered unreasonable, and the 2012 legislator's proposal to change the tax to one that is levied with fuel has been delayed in consideration of the impact on buses, taxis, and freight operators. The current tax rate is the same for all three levels of energy efficiency, and the reduction of fuel tax for the second and first levels will not result in a significant increase in taxes for public transportation, and will promote the evolution of energy conservation in the automotive industry.",: 0.540833592414856,32
您是否贊成當經濟成長與環境保護有衝突，政府應以經濟成長為優先考量？為了追求經濟成長，有時會導致環境的破 壞，兩者之間是互相取捨的，因此政府設立環境影響評估機制，近年來在我國亦有不少環境保護的抗議活動。經濟成長 為現代工業社會運作的基礎，為了養活更多人類以及提供更多就業，有時對環境的損害難以避免，或可日後再進行補償 措施。因為環境無可復原特質，對環境的破壞不只需當代承受，更需要未有決定權的後代一併承擔，形成世代不正義。,"Do you agree that when there is a conflict between economic growth and environmental protection, the government should give priority to economic growth? The pursuit of economic growth sometimes leads to damage to the environment, and there is a trade-off between the two. Economic growth is the basis for the functioning of a modern industrial society. In order to feed more people and provide more employment, sometimes environmental damage is unavoidable, or can be compensated for at a later date. Because of the irreversible nature of the environment, the damage to the environment not only needs to be borne by the present, but also needs to be borne by future generations who do not have the right to decide, resulting in generational injustice.",禁用環保塑膠減少環境汙染環保塑膠，約二年自然分解，其實非常不環保，原本東西直接回收，變成分解成數千塊，造 成更大環保問題。,"The ban on the use of environmentally friendly plastics to reduce environmental pollution, about two years of natural decomposition of environmentally friendly plastics, in fact, very environmentally unfriendly, the original stuff directly recycled, become decomposed into thousands of pieces, resulting in greater environmental problems",0.527587473,16
您是否贊成台灣加入區域全面經濟夥伴關係協定（RCEP）？RCEP 為「東協 10+6」所進行的《區域全面經濟夥伴關 係協定》，其所涵蓋的自由貿易區，市場人口約占世界一半、貿易額及國內生產總值分別占全球總量三成。RCEP 會員 國間可降低關稅並排除非關稅貿易障礙，台灣若無加入，則產品，要附加較多關稅，販售價格相對較高，產品競爭力會 下降。基於政治因素，加入 RCEP 實屬困難，改以其他方式加強台灣與世界接軌較為實際，如設立自由經濟示範區。,"Do you support Taiwan joining the Regional Comprehensive Economic Partnership (RCEP)? The RCEP is a regional comprehensive economic partnership agreement under the ASEAN 10+6, which covers a free trade area with about half of the world's population, 30% of the world's trade and 30% of the world's GDP. RCEP member countries can reduce tariffs and eliminate non-tariff trade barriers. If Taiwan does not join, more tariffs will be added to the products, and the sales prices will be relatively high, which will reduce the competitiveness of products. Due to political factors, it is difficult to join the RCEP. It is more practical to use other methods to strengthen Taiwan's integration with the world, such as setting up a free economic demonstration zone.",同樣價格功能優先採購國貨台灣需市場一年幾百億，如能保障同樣價格、規格品質，優先採用國貨這樣子話，台灣業率 研發能力不斷提升像現只會在乎值，最低標最低標，樣價格性能，給予台灣業者機會詢問是否優先採購台灣業者永續經 營台灣產業面臨到大陸競爭可否要求公家機關採購產品，同樣價格規格，可否要求優先採購國貨這樣子台灣工廠不再外 流再次提升台灣競爭力，研發就業留在台灣,"The same price function priority procurement of domestic goods Taiwan needs market tens of billions of dollars a year, if the same price, specifications quality, priority to the use of domestic goods so that Taiwan industry rate of research and development capabilities continue to improve like now will only care about the value of the lowest bid lowest bid, the same price performance, to give Taiwan industry opportunity to ask whether priority procurement of Taiwan industry sustainable operation of Taiwan industry facing competition from the mainland can require public authorities to purchase products, the same price specifications, can require priority procurement of domestic goods so that Taiwan factories no longer exodus again to enhance Taiwan's competitiveness, research and development employment to stay in Taiwan. The same price specifications, can require priority procurement of domestic products so that Taiwan factories no longer outflow again to enhance Taiwan's competitiveness, research and development employment to stay in Taiwan",0.595161736,131
您是否贊成台灣加入區域全面經濟夥伴關係協定（RCEP）？RCEP 為「東協 10+6」所進行的《區域全面經濟夥伴關 係協定》，其所涵蓋的自由貿易區，市場人口約占世界一半、貿易額及國內生產總值分別占全球總量三成。RCEP 會員 國間可降低關稅並排除非關稅貿易障礙，台灣若無加入，則產品，要附加較多關稅，販售價格相對較高，產品競爭力會 下降。基於政治因素，加入 RCEP 實屬困難，改以其他方式加強台灣與世界接軌較為實際，如設立自由經濟示範區。,"Do you support Taiwan joining the Regional Comprehensive Economic Partnership (RCEP)? The RCEP is a regional comprehensive economic partnership agreement under the ASEAN 10+6, which covers a free trade area with about half of the world's population, 30% of the world's trade and 30% of the world's GDP. RCEP member countries can reduce tariffs and eliminate non-tariff trade barriers. If Taiwan does not join, more tariffs will be added to the products, and the sales prices will be relatively high, which will reduce the competitiveness of products. Due to political factors, it is difficult to join the RCEP. It is more practical to use other methods to strengthen Taiwan's integration with the world, such as setting up a free economic demonstration zone.",有效避免兩岸老國際遣送詐騙相關犯罪者角力衝突，還可避免台灣當局好不容易搶到，單位旋即輕易縱放情形，三來還 可同大幅打擊兩岸詐騙犯罪行為保障兩岸人民權益暨促進兩岸合作關係，一舉。， 既為合作模式，完全將台涉外詐騙 犯罪行為交由對岸審理處刑，大陸當局有失公允，台灣方面應提供必要之協力，如相關詐騙嫌疑人如經審理及判處死刑 確定，其子彈一顆６塊錢費用，應由台灣方面支付。,"The company's main business is to provide a wide range of products and services to the public. In addition, as a mode of cooperation, it would be unfair for the mainland authorities to hand over Taiwan's foreign-related fraud crimes to the other side for trial and punishment, and Taiwan should provide the necessary assistance",0.561777234,21
您是否贊成台灣加入區域全面經濟夥伴關係協定（RCEP）？RCEP 為「東協 10+6」所進行的《區域全面經濟夥伴關 係協定》，其所涵蓋的自由貿易區，市場人口約占世界一半、貿易額及國內生產總值分別占全球總量三成。RCEP 會員 國間可降低關稅並排除非關稅貿易障礙，台灣若無加入，則產品，要附加較多關稅，販售價格相對較高，產品競爭力會 下降。基於政治因素，加入 RCEP 實屬困難，改以其他方式加強台灣與世界接軌較為實際，如設立自由經濟示範區。,"Do you support Taiwan joining the Regional Comprehensive Economic Partnership (RCEP)? The RCEP is a regional comprehensive economic partnership agreement under the ASEAN 10+6, which covers a free trade area with about half of the world's population, 30% of the world's trade and 30% of the world's GDP. RCEP member countries can reduce tariffs and eliminate non-tariff trade barriers. If Taiwan does not join, more tariffs will be added to the products, and the sales prices will be relatively high, which will reduce the competitiveness of products. Due to political factors, it is difficult to join the RCEP. It is more practical to use other methods to strengthen Taiwan's integration with the world, such as setting up a free economic demonstration zone.",解決台灣直銷行業風氣不好這問題問題解決外影響台灣直銷行業風氣不好嚴重問題，台灣詐騙案本來還紅到國外，加上 直銷入行門檻低，導致容易很多老鼠屎台灣要解決直銷很多老鼠屎導致行業討厭問題覺得弄直銷證照，考核人才搞直 銷，犯法。然考過沒事，直銷手法會吊銷證照，詳細法規則交給專業人士制定,"The problem of the bad culture of the direct selling industry in Taiwan is solved by solving the serious problem of the bad culture of the direct selling industry in Taiwan, Taiwan fraud cases originally also red to foreign countries, coupled with the low threshold for entry into direct selling, resulting in a lot of rat droppings easily Taiwan to solve the problem of direct selling many rat droppings that lead to the dislike of the industry feel that getting a direct selling license, assessment of talent to engage in direct selling, breaking the law. The actual fact is that you can get a lot of people to do this",0.505532801,6
您是否贊成台灣加入區域全面經濟夥伴關係協定（RCEP）？RCEP 為「東協 10+6」所進行的《區域全面經濟夥伴關 係協定》，其所涵蓋的自由貿易區，市場人口約占世界一半、貿易額及國內生產總值分別占全球總量三成。RCEP 會員 國間可降低關稅並排除非關稅貿易障礙，台灣若無加入，則產品，要附加較多關稅，販售價格相對較高，產品競爭力會 下降。基於政治因素，加入 RCEP 實屬困難，改以其他方式加強台灣與世界接軌較為實際，如設立自由經濟示範區。,"Do you support Taiwan joining the Regional Comprehensive Economic Partnership (RCEP)? The RCEP is a regional comprehensive economic partnership agreement under the ASEAN 10+6, which covers a free trade area with about half of the world's population, 30% of the world's trade and 30% of the world's GDP. RCEP member countries can reduce tariffs and eliminate non-tariff trade barriers. If Taiwan does not join, more tariffs will be added to the products, and the sales prices will be relatively high, which will reduce the competitiveness of products. Due to political factors, it is difficult to join the RCEP. It is more practical to use other methods to strengthen Taiwan's integration with the world, such as setting up a free economic demonstration zone.",提議陸配申請身份證時間 6 改 4 改變，陸配國民歸宿感！兩岸關係條例，大陸台灣均大陸地區台灣地區，雖大陸地區 法統中華民國，但大陸子民台灣子民系一母同胞，提議陸配申請身份時間外配一致,"The time for land mates to apply for identity cards has been changed from 6 to 4, and land mates have a sense of national belonging! Although the Republic of China (ROC) is the legal entity in mainland China, the children of mainland China and the children of Taiwan are one and the same, so it is proposed that the application time for land mates be the same as that for foreign mates.",: 0.5024521350860596,11
